"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant"
"ENSG00000109265.15","CRACD",2486.1470341759,6.78155916745644,0.190691297123144,35.5630239542451,5.22705201005406e-277,2.53646432396452e-273,"ENSG00000109265",TRUE
"ENSG00000238133.6","MAP3K20-AS1",1836.8550741723,6.40970596378398,0.18608744811654,34.4445905871621,5.42614755573486e-260,2.04794866859113e-256,"ENSG00000238133",TRUE
"ENSG00000184939.16","ZFP90",8828.93099140708,3.99125015757697,0.122471044338958,32.5893371704299,5.80756977861572e-233,1.64392941866682e-229,"ENSG00000184939",TRUE
"ENSG00000173334.4","TRIB1",4585.7084484741,4.18235692516317,0.128381506062873,32.577565518782,8.5256889843333e-233,2.22769694938333e-229,"ENSG00000173334",TRUE
"ENSG00000241743.4","ENSG00000241743.4",4994.88104662215,5.92448053916017,0.189202448349371,31.3129168826628,3.11295923650893e-215,7.55292852469539e-212,"ENSG00000241743",TRUE
"ENSG00000136842.14","TMOD1",1198.35194936242,5.24220947535354,0.170334830427949,30.7759103771261,5.50574970504597e-208,1.10011356459413e-204,"ENSG00000136842",TRUE
"ENSG00000061337.16","LZTS1",5424.09664707818,4.51747041021942,0.147552957298541,30.6159259219679,7.51344003842424e-206,1.34324490118523e-202,"ENSG00000061337",TRUE
"ENSG00000268756.1","ENSG00000268756.1",1085.42370201202,6.13323220618358,0.209246430267657,29.3110482140043,7.49992045149968e-189,9.43545547764967e-186,"ENSG00000268756",TRUE
"ENSG00000171346.16","KRT15",3217.80180084832,5.24045776785518,0.179667973700426,29.1674562801771,5.01855739150139e-187,5.49904378950062e-184,"ENSG00000171346",TRUE
"ENSG00000237596.7","PDE7B-AS1",1153.82269633234,5.17808543063031,0.18279305755291,28.3275825676886,1.58112979064194e-176,1.45156261428447e-173,"ENSG00000237596",TRUE
"ENSG00000108551.5","RASD1",1395.96321007124,4.81697662280081,0.172122297367277,27.9857792771745,2.4204525143846e-172,2.108152077144e-169,"ENSG00000108551",TRUE
"ENSG00000143375.15","CGN",1366.68539768234,4.3008526642617,0.155765144870655,27.6111364184398,8.1788414602532e-168,6.77607040785075e-165,"ENSG00000143375",TRUE
"ENSG00000228709.3","ENSG00000228709.3",1039.49280995518,6.86647964189559,0.251858093795317,27.2632875855716,1.15635396125809e-163,8.92705258091247e-161,"ENSG00000228709",TRUE
"ENSG00000167306.21","MYO5B",3939.40573273443,3.27433986215417,0.122753633792429,26.6740768561763,9.41013621436697e-157,6.39287013859235e-154,"ENSG00000167306",TRUE
"ENSG00000103888.17","CEMIP",1581.00281561482,3.59678092005062,0.138092577703935,26.0461567149682,1.48722030733404e-149,9.18507261809501e-147,"ENSG00000103888",TRUE
"ENSG00000185339.10","TCN2",2200.75527173966,4.08153112262731,0.15786918836356,25.8538804496029,2.20053158074901e-147,1.28875270232556e-144,"ENSG00000185339",TRUE
"ENSG00000164509.16","IL31RA",1263.39336552647,7.84607321571159,0.306820798509786,25.5721686854984,3.1128179207062e-144,1.73338031361554e-141,"ENSG00000164509",TRUE
"ENSG00000131203.13","IDO1",1686.64114724284,5.22057161252584,0.204998886086999,25.4663413649491,4.65392995811895e-143,2.50928083837118e-140,"ENSG00000131203",TRUE
"ENSG00000128564.8","VGF",845.91552401584,5.49694663871607,0.216602077479532,25.3780882560349,4.40252065434294e-142,2.33663783729252e-139,"ENSG00000128564",TRUE
"ENSG00000124126.14","PREX1",3848.5672635021,3.08819278118391,0.127186207827926,24.2808778870271,3.12169800991227e-130,1.45257312329726e-127,"ENSG00000124126",TRUE
"ENSG00000267475.3","ENSG00000267475.3",602.113172778999,5.71325571239825,0.23951568918144,23.8533673177054,9.34357468826095e-126,4.12185123390712e-123,"ENSG00000267475",TRUE
"ENSG00000290058.1","ENSG00000290058.1",621.061427956058,4.63505302669535,0.194786641225367,23.7955385314777,3.714565897221e-125,1.55773301724448e-122,"ENSG00000290058",TRUE
"ENSG00000100994.12","PYGB",14653.2924493919,2.78171454968655,0.116965077329071,23.7824367170762,5.07582738143358e-125,2.1026305425919e-122,"ENSG00000100994",TRUE
"ENSG00000006283.18","CACNA1G",990.103060696666,3.72594906601156,0.157427091622048,23.6677755246654,7.74516904871003e-124,3.13199883626884e-121,"ENSG00000006283",TRUE
"ENSG00000148672.10","GLUD1",7946.04445648646,2.93781986035646,0.124697279508354,23.559614708031,1.00053995949487e-122,3.73476278506832e-120,"ENSG00000148672",TRUE
"ENSG00000198691.14","ABCA4",846.818854594521,7.26019503406969,0.3094340162227,23.4628213235759,9.78032117674582e-122,3.61106467099676e-119,"ENSG00000198691",TRUE
"ENSG00000172243.18","CLEC7A",603.116105965984,5.73968905282038,0.244894820955358,23.4373639688634,1.77863504525428e-121,6.49641669002121e-119,"ENSG00000172243",TRUE
"ENSG00000124253.11","PCK1",573.942169541103,5.29809529110984,0.226995282166832,23.3401119201057,1.73673487884177e-120,6.20983266994708e-118,"ENSG00000124253",TRUE
"ENSG00000136960.13","ENPP2",2043.99828694429,9.54113311532366,0.409512568102092,23.2987552971635,4.56394274559216e-120,1.59822687816778e-117,"ENSG00000136960",TRUE
"ENSG00000090661.12","CERS4",1855.26517259566,3.46975701959325,0.149021444144863,23.2836088759167,6.49876964595576e-120,2.25255313605944e-117,"ENSG00000090661",TRUE
"ENSG00000166483.12","WEE1",4043.37857217586,2.7886932106211,0.119865243866125,23.2652361992082,9.97431032592271e-120,3.42229669849437e-117,"ENSG00000166483",TRUE
"ENSG00000112139.17","MDGA1",6212.75406597803,3.05845634565296,0.132630346396679,23.0600042052635,1.16741988002436e-117,3.84999208589004e-115,"ENSG00000112139",TRUE
"ENSG00000148357.18","HMCN2",1177.64771158373,8.04296572908486,0.348854682505695,23.055346917849,1.30002505405629e-117,4.24608183040231e-115,"ENSG00000148357",TRUE
"ENSG00000183813.7","CCR4",489.641446428783,4.49855926148489,0.19578188922346,22.9774024519212,7.84405864681229e-117,2.51365079353698e-114,"ENSG00000183813",TRUE
"ENSG00000050327.15","ARHGEF5",1145.76644468977,8.26990776029733,0.360128701703998,22.9637563492361,1.073819603691e-116,3.40892563534353e-114,"ENSG00000050327",TRUE
"ENSG00000091436.17","MAP3K20",3794.17175991624,2.92903192490595,0.127893961093014,22.9020346220706,4.43426201515541e-116,1.38186249661283e-113,"ENSG00000091436",TRUE
"ENSG00000138316.11","ADAMTS14",595.392646758516,6.30776534276973,0.275907858004083,22.8618546365446,1.11396044962842e-115,3.43990986845256e-113,"ENSG00000138316",TRUE
"ENSG00000152583.13","SPARCL1",493.072226610584,5.29555818816214,0.231721079356023,22.8531569198583,1.35948890429234e-115,4.1602810000903e-113,"ENSG00000152583",TRUE
"ENSG00000178150.10","ZNF114",867.019625896869,7.61625434724701,0.337621761256581,22.5585410102133,1.10714380073609e-112,3.08257873962323e-110,"ENSG00000178150",TRUE
"ENSG00000174705.13","SH3PXD2B",10078.4573125023,2.71980934922782,0.122403375983399,22.2200517541011,2.19816616587382e-109,5.83338346268766e-107,"ENSG00000174705",TRUE
"ENSG00000092421.17","SEMA6A",583.457578159727,3.56722533787899,0.161172698549078,22.1329379602883,1.52322432292337e-108,3.9197639243228e-106,"ENSG00000092421",TRUE
"ENSG00000197261.12","C6orf141",3011.76134146106,2.66438601942832,0.120606962338829,22.0914777037754,3.81703737072892e-108,9.6759048812627e-106,"ENSG00000197261",TRUE
