"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant"
"ENSG00000060718.22","COL11A1",2984.65620827564,-5.97911231595359,0.148147908922851,-40.359073303338,0,0,"ENSG00000060718",TRUE
"ENSG00000115461.5","IGFBP5",11030.6435420683,-5.72505377078695,0.118406107117238,-48.3510007226095,0,0,"ENSG00000115461",TRUE
"ENSG00000137801.11","THBS1",12319.4478488787,-5.16471413946792,0.118067088252013,-43.7438935433376,0,0,"ENSG00000137801",TRUE
"ENSG00000114019.15","AMOTL2",1987.73336740855,-5.97202541163863,0.160017239929839,-37.3211374865428,7.45387365996595e-305,6.32982951204309e-301,"ENSG00000114019",TRUE
"ENSG00000162733.19","DDR2",3045.79964205334,-4.52405488046812,0.12482573426013,-36.2429663024471,1.28251366932121e-287,8.7128848639006e-284,"ENSG00000162733",TRUE
"ENSG00000177706.9","FAM20C",2900.80547062486,-4.47662121276052,0.124977778856074,-35.8193372752756,5.52284192104902e-281,3.12666490623655e-277,"ENSG00000177706",TRUE
"ENSG00000154678.18","PDE1C",3988.73035117867,-4.11908970201714,0.116754580291097,-35.2798981568626,1.19438546796171e-272,5.07136069696543e-269,"ENSG00000154678",TRUE
"ENSG00000118523.6","CCN2",1797.3708667729,-7.80301925281702,0.237455171163943,-32.8610205226051,7.92743637408812e-237,2.69279158755025e-233,"ENSG00000118523",TRUE
"ENSG00000259207.10","ITGB3",1536.58926328561,-4.24773261828121,0.130120324597604,-32.6446512596499,9.54364293345654e-234,2.94707693785138e-230,"ENSG00000259207",TRUE
"ENSG00000178031.18","ADAMTSL1",1694.14119238008,-4.24994949902985,0.136026657733419,-31.2435045442252,2.73545321157551e-214,6.19452497938647e-211,"ENSG00000178031",TRUE
"ENSG00000137962.13","ARHGAP29",5075.83310035065,-3.59028908769471,0.116589088221948,-30.7943834405837,3.11583810374135e-208,6.61492429424289e-205,"ENSG00000137962",TRUE
"ENSG00000287080.2","H3C3",889.348743871023,-5.79750108530536,0.188485102224016,-30.7584048654146,9.43999600396781e-208,1.78143213479321e-204,"ENSG00000287080",TRUE
"ENSG00000154175.19","ABI3BP",2458.25911607693,-3.92593960471013,0.128906829180915,-30.4556370648156,1.00875983233321e-203,1.71327769923472e-200,"ENSG00000154175",TRUE
"ENSG00000186417.15","GLDN",2827.97531055777,-4.12653644841925,0.136565273687507,-30.2165868159261,1.43431098075037e-200,2.32003216162517e-197,"ENSG00000186417",TRUE
"ENSG00000038427.16","VCAN",13303.7072072348,-3.3430689830481,0.110796455263509,-30.1730680381176,5.34501680587103e-200,8.25270594826487e-197,"ENSG00000038427",TRUE
"ENSG00000140937.14","CDH11",4361.05033151811,-3.51266605280108,0.117120357707703,-29.9919341227393,1.25029389163099e-197,1.84652099612702e-194,"ENSG00000140937",TRUE
"ENSG00000101871.18","MID1",1114.52480103151,-4.14934057568253,0.139113476715086,-29.8270208872766,1.74399534709305e-195,2.46833474791903e-192,"ENSG00000101871",TRUE
"ENSG00000197702.14","PARVA",737.578321605466,-5.13370211651562,0.17280779615846,-29.7075839784923,6.12826393671285e-194,8.32659477609049e-191,"ENSG00000197702",TRUE
"ENSG00000162496.9","DHRS3",3223.63058221268,-3.40999963743536,0.11489505306766,-29.6792555152681,1.42254459786701e-193,1.85849980385949e-190,"ENSG00000162496",TRUE
"ENSG00000206579.10","XKR4",1181.79633356271,-4.14719861683479,0.141869709979761,-29.2324458647757,7.506838744509e-188,9.10686780262435e-185,"ENSG00000206579",TRUE
"ENSG00000148773.14","MKI67",3601.78097644897,-3.56563641263512,0.122095886702335,-29.2035752304089,1.7467512841691e-187,2.04598784898814e-184,"ENSG00000148773",TRUE
"ENSG00000142871.18","CCN1",1225.4248327505,-7.58217516754692,0.259701372054849,-29.1957455116778,2.19602805752716e-187,2.48648936860275e-184,"ENSG00000142871",TRUE
